NAME,TOPIC_CATEGORY,ENGAGEMENT,ESTIMATED_COST
Raffi Ahmad and Nagita Slavina @raffinagita1717,Entertainment,158130.0,790650000.0
Ayu Tingting @ayutingting92,Entertainment,11360.0,56800000.0
Prilly Latuconsina @prillylatuconsina96,Entertainment,11140.0,55700000.0
Ruben Onsu @ruben_onsu,Entertainment,67650.0,338250000.0
SYAHRINI @princessyahrini,Entertainment,132600.0,663000000.0
Natasha Wilona @natashawilona12,Entertainment,103919.99999999999,519599999.99999994
Laudya Cynthia Bella @laudyacynthiabella,Entertainment,31760.0,158800000.0
Gisella Anastasia @gisel_la,Entertainment,19550.0,97750000.0
Luna Maya @lunamaya,Entertainment,26670.000000000004,133350000.00000001
@raisa6690,Entertainment,45359.99999999999,226799999.99999997
Atta Halilintar (PAPATA) @attahalilintar,Entertainment,143909.99999999997,719549999.9999999
Aurelie Hermansyah Atta @aurelie.hermansyah,Entertainment,13600.0,68000000.0
Ashanty Ash @ashanty_ash,Entertainment,16850.0,84250000.0
Jessica Iskandar @inijedar,Entertainment,13320.0,66600000.0
INDONESIAN QUEEN MAKER @ivan_gunawan,Entertainment,6580.0,32900000.0
Zaskia Sungkar @zaskiasungkar15,Fashion & Beauty,12600.0,63000000.0
Zaskia Shinta @zaskia_gotix,Entertainment,6180.0,30900000.0
Syahnaz Sadiqah @syahnazs,Fashion & Beauty,62999.99999999999,314999999.99999994
Chelsea Olivia Wijaya @chelseaoliviaa,Entertainment,40460.00000000001,202300000.00000003
Shireen Sungkar @shireensungkar,Entertainment,40180.00000000001,200900000.00000003
Via Vallen @viavallen,Entertainment,81200.0,406000000.0
Verrell Bramasta @bramastavrl,Entertainment,287700.0,1438500000.0
Nia Ramadhani Bakrie @ramadhaniabakrie,Fashion & Beauty,70470.0,352350000.0
Jessica Mila Agnesia @jscmila,Entertainment,189440.0,947200000.0
Gading Marten @gadiiing,Entertainment,56580.0,282900000.0
Sandra Dewi @sandradewi88,Entertainment,7259.999999999999,36299999.99999999
Bunga Citra Lestari @bclsinclair,Entertainment,135140.0,675700000.0
Bunda Maia Mussry The Queen @maiaestiantyreal,Entertainment,29900.0,149500000.0
Irish Bella @_irishbella_,Entertainment,54239.99999999999,271199999.99999994
Raditya Dika @raditya_dika,Entertainment,8920.0,44600000.0
Ridwan Kamil @ridwankamil,Education & Career,121979.99999999999,609899999.9999999
