NAME,TOPIC_CATEGORY,ENGAGEMENT,ESTIMATED_COST
Ridwan Kamil @ridwankamil,Education & Society,4784.1,9568200.0
"Deddy Corbuzier, Ph.D @mastercorbuzier",Entertainment & Arts,2692.06,5384120.0
Raditya Dika @raditya_dika,Entertainment & Arts,2313.9900000000002,4627980.000000001
anya geraldine @anyageraldine,Others,2060.2599999999998,4120519.9999999995
Luna Maya @lunamaya,Entertainment & Arts,1347.19,2694380.0
Shopee Indonesia @shopee_id,Others,254.21,508420.0
Tasya Farasya @tasyafarasya,Fashion & Beauty,531.5999999999999,1063199.9999999998
Dinda Hauw @dindahw,Fashion & Beauty,1739.2199999999998,3478439.9999999995
Cipeng | TIRTA @dr.tirta,Fitness & Health,205.37,410740.0
Felix Siauw @felixsiauw,Education & Society,3027.2,6054400.0
Ricky Harun @rickyharun,Fashion & Beauty,796.6499999999999,1593299.9999999998
INDOZONE - #KAMUHARUSTAU @indozone.id,Entertainment & Arts,183.37,366740.0
detikcom @detikcom,Education & Society,296.64,593280.0
Karin Novilda @awkarin,Lifestyle & Travel,1085.7,2171400.0
ANDRE SARWONO @makanterusss,Lifestyle & Travel,375.13,750260.0
Dian Sastrowardoyo @therealdisastr,Entertainment & Arts,450.80000000000007,901600.0000000001
sunny @aurakasih,Others,1034.22,2068440.0
Oki Setiana Dewi @okisetianadewi,Fashion & Beauty,1653.3000000000002,3306600.0000000005
Fakta Info Psikologi 🌐 @indo_psikologi,Education & Society,629.52,1259040.0
Djbutterfly36🇮🇩🇹🇭 @dj_kattybutterfly36,Entertainment & Arts,437.1,874200.0
Ｍｉｃｈｅｌｌｅ Ｚｉｕｄｉｔｈ ｗ @michelleziu,Entertainment & Arts,678.68,1357360.0
thoriq halilintar @thariqhalilintar,Entertainment & Arts,1996.56,3993120.0
Raden Rauf AM @radenrauf,Others,1576.48,3152960.0
Muzammil Hasballah 🇮🇩 @muzammilhb,Education & Society,903.0400000000001,1806080.0000000002
Jharna Bhagwani @jharnabhagwani,Entertainment & Arts,431.30999999999995,862619.9999999999
Refal hady @refalhady,Lifestyle & Travel,1831.83,3663660.0
Alfy Saga @alfysaga,Fashion & Beauty,1660.1399999999999,3320279.9999999995
Giladiskon Indonesia @giladiskonn,Tech & Finance,44.32,88640.0
Wika Salim @wikasalim,Fashion & Beauty,779.5799999999999,1559159.9999999998
Syakir Daulay @syakirdaulay,Lifestyle & Travel,1526.2199999999998,3052439.9999999995
Sri Wulandari Guritno 🇮🇩🇬🇧 @wulanguritno,Entertainment & Arts,454.85999999999996,909719.9999999999
Ernest Prakasa @ernestprakasa,Entertainment & Arts,1024.32,2048639.9999999998
AFC @theafchub,Others,263.5,527000.0
Verrell Bramasta @bramastavrl,Fashion & Beauty,378.88,757760.0
CNN Indonesia @cnnindonesia,Education & Society,204.4,408800.0
Aurélie Moeremans @aurelie,Fashion & Beauty,526.24,1052480.0
CoppaMagz @coppamagz,Entertainment & Arts,1614.4,3228800.0
Kementerian BUMN RI @kementerianbumn,Tech & Finance,78.16000000000001,156320.00000000003
Benjamin Master Adhisurya @iben_ma,Others,1100.4399999999998,2200879.9999999995
TR @teukuryantr,Others,1566.4,3132800.0
INDOMARET @indomaret,Tech & Finance,149.26000000000002,298520.00000000006
CITA RAHAYU @cita_citata,Entertainment & Arts,488.32000000000005,976640.0000000001
Yura Yunita @yurayunita,Entertainment & Arts,1177.1399999999999,2354279.9999999995
Kompas.com @kompascom,Education & Society,97.32,194640.0
BMKG @infobmkg,Others,322.8,645600.0
Dalang Pelo @dalang.pelo,Entertainment & Arts,145.07999999999998,290159.99999999994
Korea Reomit @hansoljang110,Education & Society,254.72,509440.0
Fakta Indo | Berita Indonesia @fakta.indo,Lifestyle & Travel,127.2,254400.0
M. Brisia Jodie Maurine @brisiajodie96,Entertainment & Arts,418.7,837400.0
Arie Untung @ariekuntung,Education & Society,408.2,816400.0
Risa Saraswati @risa_saraswati,Entertainment & Arts,466.2,932400.0
Bobon Santoso @bobonsantoso,Lifestyle & Travel,608.3000000000001,1216600.0000000002
Nex Carlos @nexcarlos,Lifestyle & Travel,399.35999999999996,798719.9999999999
Yummy @yummy.idn,Lifestyle & Travel,61.2,122400.0
Febby Rastanty @febbyrastanty,Fashion & Beauty,1623.06,3246120.0
DISKON / PROMO / SALE / KATALOG BELANJA @katalogpromosi,Tech & Finance,43.98,87960.0
Sophia Latjuba @sophia_latjuba88,Fashion & Beauty,153.72,307440.0
Ranty Maria @rantymaria,Education & Society,1071.6299999999999,2143259.9999999995
tirto.id @tirtoid,Education & Society,71.9,143800.0
Fatma S. Zar @fatmasarizar,Fashion & Beauty,299.03999999999996,598079.9999999999
Nana Mirdad @nanamirdad_,Fashion & Beauty,448.56,897120.0
COMPASS® @sepatucompass,Fashion & Beauty,226.88000000000002,453760.00000000006
Bittersweet by Najla @bittersweet_by_najla,Fashion & Beauty,105.75,211500.0
