#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Raffi Ahmad and Nagita Slavina @raffinagita1717,75.3M,0.21%,Indonesia,Entertainment and Music family Celebrity Marketing and Advertising,22.6M
2,Ayu Tingting @ayutingting92,56.8M,0.02%,Indonesia,Beauty and Self Care Celebrity Music Lifestyle,17M
3,Prilly Latuconsina @prillylatuconsina96,55.7M,0.02%,Indonesia,Entertainment and Music Fashion and Accessories Celebrity Actors,16.7M
4,Ruben Onsu @ruben_onsu,45.1M,0.15%,Indonesia,Beauty and Self Care Actors Music,13.5M
5,SYAHRINI @princessyahrini,44.2M,0.3%,Indonesia,Celebrity Parenting Singer,13.2M
6,Natasha Wilona @natashawilona12,43.3M,0.24%,Indonesia,Fashion and Accessories Celebrity Modeling Cars & Motorcycles,13M
7,Laudya Cynthia Bella @laudyacynthiabella,39.7M,0.08%,Indonesia,Acting and Drama Health and Medical Services Music of Asia Singer,11.9M
8,Gisella Anastasia @gisel_la,39.1M,0.05%,Indonesia,family Music of Asia Singer,11.7M
9,Luna Maya @lunamaya,38.1M,0.07%,Indonesia,Beauty and Self Care Entertainment and Music Celebrity Marketing and Advertising,11.4M
10,@raisa6690,37.8M,0.12%,Indonesia,Musician,11.3M
11,Atta Halilintar (PAPATA) @attahalilintar,35.1M,0.41%,Indonesia,Entertainment and Music Music Auto and Vehicles Business and Finance,10.5M
12,Aurelie Hermansyah Atta @aurelie.hermansyah,34M,0.04%,Indonesia,Beauty and Self Care Product Modeling,10.2M
13,Ashanty Ash @ashanty_ash,33.7M,0.05%,Indonesia,Entertainment and Music Celebrity Singer,10.1M
14,Jessica Iskandar @inijedar,33.3M,0.04%,Indonesia,family Food Celebrity Actors,10M
15,INDONESIAN QUEEN MAKER @ivan_gunawan,32.9M,0.02%,Indonesia,Beauty and Self Care Fashion and Accessories Celebrity,9.9M
16,Zaskia Sungkar @zaskiasungkar15,31.5M,0.04%,Indonesia,Fashion and Accessories,9.4M
17,Zaskia Shinta @zaskia_gotix,30.9M,0.02%,Indonesia,family Music Singer,9.3M
