#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Ridwan Kamil @ridwankamil,431K,1.11%,Indonesia,Politics,129.3K
2,"Deddy Corbuzier, Ph.D @mastercorbuzier",401.8K,0.67%,Indonesia,Entertainment & Music,120.5K
3,Raditya Dika @raditya_dika,367.3K,0.63%,Indonesia,Entertainment & Music Funny,110.2K
4,anya geraldine @anyageraldine,332.3K,0.62%,Indonesia,Product Showcase,99.7K
5,Luna Maya @lunamaya,313.3K,0.43%,Indonesia,Beauty & Self Care Entertainment & Music,94K
6,Gisella Anastasia @gisel_la,234.4K,-,Indonesia,family,70.3K
7,Shopee Indonesia @shopee_id,231.1K,0.11%,Indonesia,Product Showcase,69.3K
8,Tasya Farasya @tasyafarasya,221.5K,0.24%,Indonesia,Beauty & Self Care,66.5K
9,Dinda Hauw @dindahw,212.1K,0.82%,Indonesia,Beauty & Self Care,63.6K
10,Cipeng | TIRTA @dr.tirta,186.7K,0.11%,Indonesia,Fitness & Health,56K
11,NIKI @nikizefanya,182.1K,-,Indonesia,Entertainment & Music,54.6K
12,Felix Siauw @felixsiauw,176K,1.72%,Indonesia,Education,52.8K
13,Ricky Harun @rickyharun,169.5K,0.47%,Indonesia,Fashion & Accessories Product Showcase,50.9K
14,INDOZONE - #KAMUHARUSTAU @indozone.id,166.7K,0.11%,Indonesia,Entertainment & Music Media,50K
15,detikcom @detikcom,164.8K,0.18%,Indonesia,News,49.5K
16,Karin Novilda @awkarin,164.5K,0.66%,Indonesia,Life & Society,49.3K
17,ANDRE SARWONO @makanterusss,163.1K,0.23%,Indonesia,Food Travel,48.9K
18,Dian Sastrowardoyo @therealdisastr,161K,0.28%,Indonesia,Acting & Drama family Outdoor Activity Education,48.3K
19,sunny @aurakasih,156.7K,0.66%,Indonesia,Animals,47K
20,Oki Setiana Dewi @okisetianadewi,150.3K,1.1%,Indonesia,Beauty & Self Care,45.1K
21,Fakta Info Psikologi 🌐 @indo_psikologi,146.4K,0.43%,Indonesia,Education,43.9K
22,Djbutterfly36🇮🇩🇹🇭 @dj_kattybutterfly36,145.7K,0.3%,Indonesia,Entertainment & Music,43.7K
23,Ｍｉｃｈｅｌｌｅ Ｚｉｕｄｉｔｈ ｗ @michelleziu,144.4K,0.47%,Indonesia,Art Arts & Crafts,43.3K
24,thoriq halilintar @thariqhalilintar,141.6K,1.41%,Indonesia,Entertainment & Music,42.5K
25,Raden Rauf AM @radenrauf,133.6K,1.18%,Indonesia,Auto and Vehicles,40.1K
26,Muzammil Hasballah 🇮🇩 @muzammilhb,132.8K,0.68%,Indonesia,Education,39.8K
27,Jharna Bhagwani @jharnabhagwani,130.7K,0.33%,Indonesia,Entertainment & Music,39.2K
28,Refal hady @refalhady,128.1K,1.43%,Indonesia,Travel,38.4K
29,Alfy Saga @alfysaga,120.3K,1.38%,Indonesia,Fashion & Accessories,36.1K
30,Giladiskon Indonesia @giladiskonn,110.8K,0.04%,Indonesia,Finance,33.2K
31,Wika Salim @wikasalim,109.8K,0.71%,Indonesia,Fashion & Accessories,32.9K
